fid,nom_festival,domaine,complement_domaine,mois_habituel,site_web,latitude,longitude,com_code,com_name,dep_name,dep_code
"109",Dañsfabrik,Danse,,février,http://www.dansfabrik.com,"48.388666","-4.484266","29019",Brest,Finistère,"29"
"110",Les rencontres de bretagne en scene(s),Pluridisciplinaire Spectacle vivant,,janvier,http://www.bretagneenscenes.com,"48.273646","-3.560219","29024",Carhaix-Plouguer,Finistère,"29"
"111",Festival eldorado,Théâtre,,avril,http://theatredelorient.fr/festival-eldorado/,"47.748031","-3.366876","56121",Lorient,Morbihan,"56"
"112",Humeur vagabonde,Cirque et Arts de la rue,Arts de la rue,juin,https://centreculturel.fougeres-agglo.bzh/les-festivals/humeur-vagabonde/,"48.34381","-1.194656","35115",Fougères,Ille-et-Vilaine,"35"
"113",Festival du roi arthur,Musiques actuelles,Musiques traditionnelles et du monde,août,www.festivalduroiarthur.fr,"48.0438889","-1.8766","35037",Bréal-sous-Montfort,Ille-et-Vilaine,"35"
"114",Motocultor,Musiques actuelles,Musiques amplifiées ou électroniques,août,www.motocultor-festival.com,"48.2708333","-3.55833333333333","29024",Carhaix-Plouguer,Finistère,"29"
"115",Made festival,Musiques actuelles,Musiques amplifiées ou électroniques,mai,www.made-festival.fr,"48.1119791219","-1.68186449144","35238",Rennes,Ille-et-Vilaine,"35"
"116",La route du rock - collection hiver,Musiques actuelles,Musiques amplifiées ou électroniques,février,www.laroutedurock.com,"48.5886111","-1.9227777777777777","35306",Saint-Père-Marc-en-Poulet,Ille-et-Vilaine,"35"
"117",Fete du bruit dans landerneau,Musiques actuelles,Musiques amplifiées ou électroniques,août,www.festival-fetedubruit.com,"48.4487162","-4.2568032","29103",Landerneau,Finistère,"29"
"118",Festival dejante,Musiques actuelles,Musiques amplifiées ou électroniques,mai,http://festival-dejante.com,"48.2937312654","-2.52246803693","22046",Le Mené,Côtes-d'Armor,"22"
"119",Festival plage musicale en bangor,Musiques classiques,Musique de chambre,juillet,http://www.belleilemusique.com/,"47.313014109","-3.1920046614","56009",Bangor,Morbihan,"56"
"120",Le chien jaune festival du polar de concarneau,Livre et littérature,Littérature policière,juillet,http://www.lechienjaune.fr/,"47.8731768","-3.9174812","29039",Concarneau,Finistère,"29"
"121",Festival les emancipéés,Transdisciplinaire,Littérature et chanson,mars,https://www.festival-lesemancipees.bzh/,"47.6614316","-2.7607774","56260",Vannes,Morbihan,"56"
"122",Jazz a monterblanc,Musiques actuelles,"Jazz, blues et musiques improvisées",septembre,http://www.notesetmots.fr/,"47.7429131","-2.6790171","56137",Monterblanc,Morbihan,"56"
"123",Le printemps des arts de la rue en pays des abers,Cirque et Arts de la rue,Arts de la rue,mai,https://www.lefourneau.com/presentation-50.html,"48.5330700302","-4.38126617487","29047",Le Drennec,Finistère,"29"
"124",Vieilles charrues,Musiques actuelles,,juillet,www.vieillescharrues.asso.fr,"48.2708333","-3.55833333333333","29024",Carhaix-Plouguer,Finistère,"29"
